openalex_id,article_set
W1000180593,inter
W100053436,inter
W1003699236,inter
W100400052,inter
W1004562051,inter
W1007165372,inter
W100825204,inter
W101127628,uni
W101224644,inter
W101255397,inter
W1016224041,inter
W102020307,inter
W102040461,inter
W102566572,inter
W102808723,inter
W102862060,inter
W102905824,inter
W1029710535,inter
W1030171107,uni
W1034159276,inter
W103419956,inter
W103492007,inter
W103650626,top tier
W1038672748,inst
W103963407,inter
W104184427,inter
W104209573,inst
W1042246260,uni
W104228359,inter
W1044514684,inter
W10455605,inter
W104562732,inter
W105349608,inter
W105372224,inter
W10539125,inter
W105780082,inter
W105839681,inter
W1059174889,inter
W106378164,uni
W106389465,inter
W106418731,inter
W106517363,inter
W106569135,inter
W1072722121,inter
W107286722,inter
W107699636,inter
W108141292,inter
W108479640,inter
W108693994,inter
W108737386,inter
W108921974,inter
W109017872,inter
W109189503,inst
W109663408,inter
W109807671,inter
W11014575,inter
W110439420,inter
W110492836,inst
W1106092,inter
W111712464,inter
W112131548,inter
W1122198217,inter
W1123427201,inst
W1124815124,inter
W1128997228,inter
W112909663,inter
W1130077638,inter
W113059239,inter
W113106864,inter
W1131985917,inter
W1133916940,inst
W113618157,inter
W1137093233,inter
W1137305555,inter
W114088334,inter
W1141949320,inter
W1142123214,inter
W1144961267,inter
W1154360701,inter
W1155086552,inter
W1155327853,inter
W115595067,inter
W115629558,inter
W11580487,inter
W1158860948,uni
W115924709,inter
W1162301944,inter
W1164749991,inter
W1165295512,inter
W1169200853,inter
W11697879,inter
W117004846,inter
W117096852,inter
W1171650066,inter
W1174108660,inter
W1177360271,inst
W117918019,uni
W11812818,inst
W1183909309,inter
W11840688,inter
W118421059,inter
W118744065,inter
W119096250,inter
W1191502296,inter
W119353802,inter
W119461825,inter
W1196375415,inter
W1196839788,inst
W119849253,inst
W119967642,inter
W120119343,inter
W1202352811,inst
W1203631032,inter
W120536699,inter
W120692785,inter
W120854412,inter
W121311982,inter
W121339493,inter
W1215388,inter
W1216349060,inter
W1218518433,uni
W12190813,inter
W1221277128,inter
W122306847,inter
W122624267,inter
W122881941,inter
W1230022372,inter
W1230574503,inter
W123154371,inter
W1242951041,inter
W1245895196,inter
W1249296113,inter
W1249484052,inter
W125001008,inter
W1250581112,inter
W12540587,inst
W1256975892,inter
W1259818010,inter
W1261868982,inst
W1262337263,inter
W1264850517,inter
W126652790,inter
W126819649,inter
W1273292464,inter
W127329880,inter
W1274006562,inter
W128468919,inter
W129766339,inter
W130194641,inter
W130500341,inter
W131391317,inter
W131533222,inter
W131903061,inter
W132603005,inter
W132710837,inter
W132759409,inter
W132822091,inter
W132915995,inter
W133172057,uni
W134840535,inter
W134948675,inter
W135050590,inter
W135489932,inter
W135682678,inst
W13608894,inter
W136721492,inter
W136845799,inter
W138170242,inter
W138435572,inter
W1392298,inter
W139609527,inter
W139641880,inter
W140037322,inter
W1408639475,inter
W1408671314,inst
W14091147,inter
W141017168,uni
W1413893693,inter
W1416363498,inter
W1416401655,inter
W1418693140,inst
W1418997516,inter
W1421412675,inter
W1422086691,inter
W14258296,inter
W142583486,inter
W142616426,inter
W1427174644,inter
W1428511354,inter
W1429241971,inter
W1429562910,inter
W143062967,inter
W143127387,inter
W143425341,inter
W1435010830,inter
W14411162,inter
W1441652847,inter
W1442374986,inter
W144732048,inter
W1449038650,inst
W144947161,inter
W145181133,inter
W14566539,inst
W1456662665,inter
W145670326,inter
W14568393,inter
W145776027,inter
W1458138260,inter
W1459085915,inter
W146014409,inter
W146072112,inter
W1461677342,inst
W1463623766,inter
W1464282338,inst
W1466286227,inter
W14675535,inter
W14675611,inter
W146770048,inter
W1468912418,inter
W146984120,inter
W1472875483,inter
W147369072,inter
W1475505445,inter
W147723833,inter
W1479276347,inter
W1479702306,inter
W1479755963,inter
W1479797105,inter
W1479829791,inst
W1479911746,inter
W1479986324,inter
W1480015148,inter
W1480042391,inter
W1480063481,inter
W1480121071,inter
W1480165691,inter
W1480281982,inter
W1480295176,inter
W1480487832,inter
W1480498941,inst
W1480654101,inter
W1480721070,inter
W148103248,inter
W1481063505,inter
W1481204283,inter
W1481602796,inter
W1481624564,inter
W1481678233,inter
W1481710664,inter
W1481946017,inter
W1481954967,inter
W1482029186,inst
W1482163180,inter
W1482189126,inter
W1482214997,inter
W1482388496,inter
W1482435852,inter
W1482568066,inter
W1482703252,inter
W1482750774,inter
W1482769911,inter
W1482992223,inter
W1483061584,inter
W1483207321,inter
W1483298393,inter
W1483313504,inter
W1483393862,inter
W1483576313,inter
W1483729189,inter
W148374083,inter
W1483816357,inter
W1483860815,inter
W1483866246,inter
W1483999018,inter
W1484028102,inter
W1484201497,inter
W1484235136,inter
W1484301591,inter
W1484324120,inter
W1484387568,inter
W1484660317,inter
W1484672383,inter
W1484735710,inter
W1484786551,inter
W1484854554,inter
W1484916802,inter
W1484987052,inter
W1485063553,inter
W1485200701,inst
W1485231155,inter
W1485246922,inter
W1485252366,uni
W1485287820,inter
W1485313098,inter
W1485485495,inter
W1485540258,inter
W1485761730,inter
W1485810016,inter
W1485833866,inter
W1485855073,inter
W1485971876,inter
W1486088638,inter
W1486189686,inter
W1486300940,inter
W1486338171,inter
W1486547850,inter
W1486632395,inst
W1486667701,inter
W1486818322,inter
W1486929947,inter
W1486938123,inter
W1486950781,uni
W1486995089,inter
W1487122780,inter
W1487288055,uni
W1487325026,inter
W1487439246,inter
W1487444668,inter
W1487470981,inter
W1487528910,inter
W1487571163,inter
W1487664366,inter
W1487775490,inter
W1487792166,inter
W1487974501,inter
W1487995234,inter
W1488044055,inter
W1488421969,inter
W1488432131,inter
W1488578548,inter
W1488701894,inter
W1488833649,inter
W1488876970,inter
