community_id,community_name,size,unicamp_article_count,unicamp_article_percent,internal_edges,internal_edges_to_unicamp,density,unicamp_internal_density
20,Visão computacional e mecânica,11,1,9.090909090909092,18,0,0.16363636363636364,0.0
3,Sistemas de informação e aplicações em saúde,15,2,13.333333333333334,23,3,0.10952380952380952,0.10714285714285714
36,IA e imagens biomédicas,53,3,5.660377358490566,177,11,0.06422351233671988,0.07051282051282051
26,Visão computacional e mídia,119,3,2.5210084033613445,856,33,0.060959977211223475,0.09322033898305085
40,"IA, sustentabilidade e engenharia elétrica",33,4,12.121212121212121,55,9,0.052083333333333336,0.0703125
39,"Visão computacional, ciências planetárias e geologia",146,6,4.109589041095891,886,94,0.04185167690127539,0.10804597701149425
32,"IA, geofísica e imagens radiológicas",85,7,8.235294117647058,274,34,0.038375350140056025,0.05782312925170068
30,Teoria computacional e mecânica computacional,139,14,10.071942446043165,617,21,0.032165571890313834,0.010869565217391304
34,"Redes, teoria computacional e gestão de sistemas",136,15,11.029411764705882,495,49,0.02696078431372549,0.02419753086419753
38,"Teoria computacional, análise numérica e geometria",139,28,20.14388489208633,464,193,0.024189344176832446,0.04994824016563147
31,"IA, estatística e sinais",221,12,5.429864253393665,1012,71,0.02081447963800905,0.026893939393939394
35,Teoria computacional e análise numérica aplicada,193,22,11.398963730569948,730,106,0.01969991364421416,0.025094696969696968
29,"Redes, física não linear e engenharia biomédica",336,22,6.5476190476190474,2066,123,0.018354655294953802,0.016689280868385347
23,"Visão computacional, mídia e biofísica",666,26,3.903903903903904,6458,463,0.014581498792025107,0.026778484673221515
24,"Visão computacional, IA e sinais aplicados",446,16,3.587443946188341,2731,196,0.013760266035169043,0.02752808988764045
37,"IA, engenharia elétrica e redes",287,33,11.498257839721255,1057,109,0.012877366535903122,0.011549057003602458
18,"Sinais, visão computacional e sistemas",1034,31,2.998065764023211,12862,1420,0.012041695611549991,0.044343128376479406
28,"Teoria computacional, redes e matemática discreta",377,30,7.957559681697613,1520,185,0.010722952762571252,0.016400709219858155
27,"Visão computacional, computação gráfica e controle",350,18,5.142857142857143,1030,157,0.008432255423659435,0.024992040751353074
19,"Redes, IA e materiais",820,28,3.4146341463414633,5132,471,0.00764168081241252,0.02053898482469911
25,Visão computacional e sinais,649,33,5.084745762711864,2765,232,0.006574692309155586,0.010849233071455293
8,"IA aplicada, mídia e ambiente",1936,70,3.615702479338843,24092,1031,0.006431118798983493,0.0076116648209671465
22,IA e teoria computacional,683,66,9.66325036603221,2955,443,0.006343842715636982,0.009841819959122013
21,"IA, sinais e redes",594,32,5.3872053872053876,1762,182,0.0050022427762731305,0.00959106239460371
12,IA e física atômica/molecular,2216,92,4.1516245487364625,24289,1501,0.004948415382484048,0.0073657866326430465
14,"IA, redes e sistemas de informação",973,39,4.008221993833504,4631,407,0.004896611811080236,0.010736519995779256
33,Interação humano-computador e aplicações,540,40,7.407407407407407,1232,166,0.004232804232804233,0.007699443413729128
13,"Redes, sistemas e hardware",1425,60,4.2105263157894735,7544,743,0.0037177212694657993,0.008696161048689139
9,Visão computacional e computação gráfica,1471,89,6.0503059143439835,7678,769,0.0035507336857244598,0.0058778567606818
10,"IA, visão computacional e biologia molecular",1421,24,1.688951442646024,5969,211,0.002958142946348039,0.00619131455399061
7,Processamento de sinais e mecânica computacional,1245,40,3.21285140562249,4558,334,0.0029429615568382856,0.006712218649517685
16,"Redes, IA e engenharia elétrica",1804,104,5.764966740576496,8921,729,0.0027427187749414932,0.0038877511839242288
17,"Redes, hardware e sinais",1739,80,4.6003450258769405,8198,452,0.0027124301296130005,0.003250863060989643
0,"Visão computacional, sinais e mídia",2097,27,1.2875536480686696,11776,1500,0.0026792182215961005,0.026505513146734522
4,Sistemas de informação e software,1661,107,6.441902468392534,6921,595,0.0025101006071244643,0.003349847990091206
2,Teoria computacional e biologia molecular,2238,52,2.323503127792672,11778,293,0.002352585866987216,0.0025188267253533235
1,Visão computacional e IA central,5695,65,1.1413520632133451,57063,753,0.0017597193478464,0.0020345302747831725
6,"Redes, comunicações e sistemas",4785,133,2.779519331243469,39397,2696,0.0017210363349793635,0.00423718158271934
5,Inteligência artificial e teoria computacional,4157,208,5.003608371421699,29213,2164,0.001690910400097427,0.002503331605834012
11,"Visão computacional, IA e sinais",3797,135,3.5554385040821703,24271,978,0.0016839177288486586,0.0019084416344690317
15,Teoria computacional e análise numérica,2280,44,1.9298245614035088,8056,232,0.0015503875968992248,0.002313614424189238
