openalex_id,community_id,community_name
W1000180593,11,"Visão computacional, IA e sinais"
W100053436,14,"IA, redes e sistemas de informação"
W1003699236,4,Sistemas de informação e software
W100400052,5,Inteligência artificial e teoria computacional
W1004562051,0,"Visão computacional, sinais e mídia"
W1007165372,4,Sistemas de informação e software
W100825204,10,"IA, visão computacional e biologia molecular"
W101127628,22,IA e teoria computacional
W101224644,15,Teoria computacional e análise numérica
W101255397,16,"Redes, IA e engenharia elétrica"
W1016224041,15,Teoria computacional e análise numérica
W102020307,8,"IA aplicada, mídia e ambiente"
W102040461,25,Visão computacional e sinais
W102566572,24,"Visão computacional, IA e sinais aplicados"
W102808723,0,"Visão computacional, sinais e mídia"
W102862060,33,Interação humano-computador e aplicações
W102905824,11,"Visão computacional, IA e sinais"
W1029710535,6,"Redes, comunicações e sistemas"
W1030171107,9,Visão computacional e computação gráfica
W1034159276,1,Visão computacional e IA central
W103419956,17,"Redes, hardware e sinais"
W103492007,5,Inteligência artificial e teoria computacional
W103650626,11,"Visão computacional, IA e sinais"
W1038672748,8,"IA aplicada, mídia e ambiente"
W103963407,5,Inteligência artificial e teoria computacional
W104184427,1,Visão computacional e IA central
W104209573,16,"Redes, IA e engenharia elétrica"
W1042246260,4,Sistemas de informação e software
W104228359,7,Processamento de sinais e mecânica computacional
W1044514684,21,"IA, sinais e redes"
W10455605,10,"IA, visão computacional e biologia molecular"
W104562732,22,IA e teoria computacional
W105349608,13,"Redes, sistemas e hardware"
W105372224,10,"IA, visão computacional e biologia molecular"
W10539125,10,"IA, visão computacional e biologia molecular"
W105780082,11,"Visão computacional, IA e sinais"
W105839681,15,Teoria computacional e análise numérica
W1059174889,5,Inteligência artificial e teoria computacional
W106378164,21,"IA, sinais e redes"
W106389465,4,Sistemas de informação e software
W106418731,8,"IA aplicada, mídia e ambiente"
W106517363,6,"Redes, comunicações e sistemas"
W106569135,5,Inteligência artificial e teoria computacional
W1072722121,0,"Visão computacional, sinais e mídia"
W107286722,5,Inteligência artificial e teoria computacional
W107699636,15,Teoria computacional e análise numérica
W108141292,15,Teoria computacional e análise numérica
W108479640,37,"IA, engenharia elétrica e redes"
W108693994,10,"IA, visão computacional e biologia molecular"
W108737386,5,Inteligência artificial e teoria computacional
W108921974,14,"IA, redes e sistemas de informação"
W109017872,9,Visão computacional e computação gráfica
W109189503,8,"IA aplicada, mídia e ambiente"
W109663408,4,Sistemas de informação e software
W109807671,4,Sistemas de informação e software
W11014575,5,Inteligência artificial e teoria computacional
W110439420,10,"IA, visão computacional e biologia molecular"
W110492836,17,"Redes, hardware e sinais"
W1106092,17,"Redes, hardware e sinais"
W111712464,14,"IA, redes e sistemas de informação"
W112131548,28,"Teoria computacional, redes e matemática discreta"
W1122198217,6,"Redes, comunicações e sistemas"
W1123427201,1,Visão computacional e IA central
W1124815124,28,"Teoria computacional, redes e matemática discreta"
W1128997228,2,Teoria computacional e biologia molecular
W112909663,15,Teoria computacional e análise numérica
W1130077638,5,Inteligência artificial e teoria computacional
W113059239,11,"Visão computacional, IA e sinais"
W113106864,1,Visão computacional e IA central
W1131985917,6,"Redes, comunicações e sistemas"
W1133916940,1,Visão computacional e IA central
W113618157,28,"Teoria computacional, redes e matemática discreta"
W1137093233,6,"Redes, comunicações e sistemas"
W1137305555,5,Inteligência artificial e teoria computacional
W114088334,19,"Redes, IA e materiais"
W1141949320,13,"Redes, sistemas e hardware"
W1142123214,1,Visão computacional e IA central
W1144961267,11,"Visão computacional, IA e sinais"
W1154360701,11,"Visão computacional, IA e sinais"
W1155086552,4,Sistemas de informação e software
W1155327853,11,"Visão computacional, IA e sinais"
W115595067,21,"IA, sinais e redes"
W115629558,16,"Redes, IA e engenharia elétrica"
W11580487,11,"Visão computacional, IA e sinais"
W1158860948,12,IA e física atômica/molecular
W115924709,10,"IA, visão computacional e biologia molecular"
W1162301944,1,Visão computacional e IA central
W1164749991,1,Visão computacional e IA central
W1165295512,13,"Redes, sistemas e hardware"
W1169200853,8,"IA aplicada, mídia e ambiente"
W11697879,27,"Visão computacional, computação gráfica e controle"
W117004846,16,"Redes, IA e engenharia elétrica"
W117096852,1,Visão computacional e IA central
W1171650066,5,Inteligência artificial e teoria computacional
W1174108660,2,Teoria computacional e biologia molecular
W1177360271,25,Visão computacional e sinais
W117918019,5,Inteligência artificial e teoria computacional
W11812818,13,"Redes, sistemas e hardware"
W1183909309,5,Inteligência artificial e teoria computacional
W11840688,8,"IA aplicada, mídia e ambiente"
W118421059,9,Visão computacional e computação gráfica
W118744065,17,"Redes, hardware e sinais"
W119096250,0,"Visão computacional, sinais e mídia"
W1191502296,2,Teoria computacional e biologia molecular
W119353802,16,"Redes, IA e engenharia elétrica"
W119461825,15,Teoria computacional e análise numérica
W1196375415,14,"IA, redes e sistemas de informação"
W1196839788,5,Inteligência artificial e teoria computacional
W119849253,1,Visão computacional e IA central
W119967642,11,"Visão computacional, IA e sinais"
W120119343,23,"Visão computacional, mídia e biofísica"
W1202352811,1,Visão computacional e IA central
W1203631032,0,"Visão computacional, sinais e mídia"
W120536699,27,"Visão computacional, computação gráfica e controle"
W120692785,11,"Visão computacional, IA e sinais"
W120854412,8,"IA aplicada, mídia e ambiente"
W121311982,21,"IA, sinais e redes"
W121339493,33,Interação humano-computador e aplicações
W1215388,11,"Visão computacional, IA e sinais"
W1216349060,9,Visão computacional e computação gráfica
W1218518433,31,"IA, estatística e sinais"
W12190813,19,"Redes, IA e materiais"
