rank,community_id,community,community_name,main_subfield,size,external_in,influence,unicamp_fraction,top_article_id,top_article_title,publication_year,article_subfields,pagerank_relative,coreness_relative,internal_in_degree,internal_out_degree,minmax_sum
1,1,C1,Visão computacional e IA central,Computer Vision and Pattern Recognition,5695,11691,1.0,0.01141352063213345,W2119880843,Toward Open Set Recognition,2012,Artificial Intelligence; Computer Vision and Pattern Recognition,8.59031336643715,1.6279089319343556,248,20,1.9411764705882353
2,11,C11,"Visão computacional, IA e sinais",Computer Vision and Pattern Recognition,3797,11545,0.9449606831006454,0.0355543850408217,W2039388884,A compact and efficient image retrieval approach based on border/interior pixel classification,2002,Computer Vision and Pattern Recognition,2.8273828505803555,2.5191819849354093,70,11,2.0
3,5,C5,Inteligência artificial e teoria computacional,Artificial Intelligence,4157,4859,0.6821012018502914,0.050036083714216986,W2913642042,Uncertain rule-based fuzzy logic systems: introduction and new directions,2002,Artificial Intelligence,31.027440649181578,2.3955051863234726,442,0,2.0
4,6,C6,"Redes, comunicações e sistemas",Computer Networks and Communications,4785,2520,0.6256585873826294,0.027795193312434692,W2040340473,Software-Defined Networking: A Comprehensive Survey,2014,Computer Networks and Communications; Electrical and Electronic Engineering,74.08677469683262,2.5707587486873917,1300,350,2.0
5,0,C0,"Visão computacional, sinais e mídia",Computer Vision and Pattern Recognition,2097,1719,0.5033649105589435,0.012875536480686695,W2142276208,"A new, fast, and efficient image codec based on set partitioning in hierarchical trees",1996,Computer Vision and Pattern Recognition; Signal Processing,108.6838704882705,1.8403542364767833,1232,15,2.0
6,8,C8,"IA aplicada, mídia e ambiente",Artificial Intelligence,1936,3461,0.4902803423271045,0.03615702479338843,W2074506246,"Targeting key alteration minerals in epithermal deposits in Patagonia, Argentina, using ASTER imagery and principal component analysis",2003,Artificial Intelligence; Environmental Engineering; Media Technology,6.830147340972961,1.6394780399553486,188,7,1.8399999999999999
7,9,C9,Visão computacional e computação gráfica,Computer Vision and Pattern Recognition,1471,2854,0.48560489606977414,0.060503059143439834,W2025564919,User-Steered Image Segmentation Paradigms: Live Wire and Live Lane,1998,Computer Vision and Pattern Recognition,7.8786649703346985,2.2926507612996043,110,23,2.0
8,16,C16,"Redes, IA e engenharia elétrica",Computer Networks and Communications,1804,1482,0.4517822973835151,0.057649667405764965,W2024279322,TinyPBC: Pairings for authenticated identity-based non-interactive key distribution in sensor networks,2010,Artificial Intelligence; Computer Networks and Communications,3.732888057890751,2.5789849892780556,60,55,2.0
9,15,C15,Teoria computacional e análise numérica,Computational Theory and Mathematics,2280,737,0.42898784485904873,0.01929824561403509,W2131798279,Affine Arithmetic: Concepts and Applications,2004,Computational Theory and Mathematics; Signal Processing,8.9218039947988,1.2580004414036636,45,5,1.5
10,13,C13,"Redes, sistemas e hardware",Computer Networks and Communications,1425,2019,0.40065467042443076,0.042105263157894736,W2110173188,A Survey of Large Scale Data Management Approaches in Cloud Environments,2011,Computer Networks and Communications; Computer Vision and Pattern Recognition; Information Systems,7.50244568449713,1.7814726840855106,80,57,2.0
11,10,C10,"IA, visão computacional e biologia molecular",Artificial Intelligence,1421,1206,0.39436198357533336,0.01688951442646024,W2105881518,Reliable online human signature verification systems,1996,Computer Vision and Pattern Recognition; Human-Computer Interaction,9.854838553363743,1.9593994178029723,90,9,2.0
12,17,C17,"Redes, hardware e sinais",Computer Networks and Communications,1739,774,0.3838103146112111,0.04600345025876941,W2026875669,Identifying Android malware using dynamically obtained features,2014,Computer Networks and Communications; Signal Processing; Software,4.779337823914644,2.451686368072877,70,16,2.0
13,12,C12,IA e física atômica/molecular,Artificial Intelligence,2216,134,0.3601074151841929,0.04151624548736462,W1993421674,Robustness of quantum discord to sudden death,2009,Artificial Intelligence,4.055436212443162,2.0549437811521964,192,21,1.8261106335432065
14,7,C7,Processamento de sinais e mecânica computacional,Signal Processing,1245,778,0.35602159557149476,0.0321285140562249,W2153894152,Speech enhancement based on a priori signal to noise estimation,2002,Biomedical Engineering; Computational Mechanics; Signal Processing,22.47517759462074,2.2334064181781943,199,8,2.0
15,2,C2,Teoria computacional e biologia molecular,Computational Theory and Mathematics,2238,343,0.34919864301514764,0.02323503127792672,W2100349128,Basic validation procedures for regression models in QSAR and QSPR studies: theory and application,2009,Computational Theory and Mathematics; Materials Chemistry,4.200206779592066,1.2461024498886413,58,1,1.8571428571428572
16,4,C4,Sistemas de informação e software,Information Systems,1661,703,0.3478985056059301,0.06441902468392535,W1976701842,A comparative study of exception handling mechanisms for building dependable object-oriented software,2001,Artificial Intelligence; Information Systems; Software,3.255249251852305,1.9323940020682522,43,38,1.3085763962979549
17,14,C14,"IA, redes e sistemas de informação",Artificial Intelligence,973,1441,0.3405026554335409,0.040082219938335044,W2036166268,Contributions to the study of SMS spam filtering,2011,Artificial Intelligence; Information Systems,11.964680823404917,1.5262745098039217,95,10,1.7777777777777777
18,19,C19,"Redes, IA e materiais",Computer Networks and Communications,820,1040,0.31241683781336327,0.03414634146341464,W2168117245,LIPSIN,2009,Computer Networks and Communications,12.116967702715302,1.6258111031002163,132,38,2.0
19,18,C18,"Sinais, visão computacional e sistemas",Signal Processing,1034,908,0.3002033667758163,0.029980657640232108,W2131338307,Competition on counter measures to 2-D facial spoofing attacks,2011,Computer Vision and Pattern Recognition; Signal Processing,6.38680286085156,2.032717826300639,71,9,2.0
20,21,C21,"IA, sinais e redes",Artificial Intelligence,594,558,0.2902684019461178,0.05387205387205387,W2003863309,Towards historical R-trees,1998,Artificial Intelligence; Information Systems; Signal Processing,6.771731113792145,2.386740331491713,64,11,1.9381460215324904
