university_id,university_name,continent,articles_in_giant,reached,reach_pct,mean_dist,median_dist,min_dist,max_dist
I22299242,Kyoto University,Asia,54,13,24.074074074074073,1.6923076923076923,1.0,1,3
I74801974,The University of Tokyo,Asia,139,39,28.057553956834532,1.794871794871795,2.0,1,4
I20231570,Peking University,Asia,280,101,36.07142857142857,1.8415841584158417,1.0,1,8
I165932596,National University of Singapore,Asia,376,162,43.08510638297872,1.9012345679012346,2.0,1,6
I881766915,Nanjing University,Asia,171,47,27.485380116959064,1.9148936170212767,2.0,1,5
I37461747,Wuhan University,Asia,163,22,13.496932515337424,2.0,1.5,1,5
I99065089,Tsinghua University,Asia,571,229,40.10507880910683,2.096069868995633,2.0,1,9
I876193797,Vellore Institute of Technology University,Asia,111,3,2.7027027027027026,2.6666666666666665,2.0,2,4
I39343248,Humboldt-Universität zu Berlin,Europe,33,8,24.242424242424242,1.5,1.0,1,4
I40120149,University of Oxford,Europe,260,128,49.23076923076923,1.7578125,1.0,1,6
I62916508,Technical University of Munich,Europe,134,44,32.83582089552239,2.0681818181818183,1.5,1,7
I4210145102,Institut Polytechnique de Paris,Europe,35,6,17.142857142857142,2.1666666666666665,2.0,1,5
I86987016,KTH Royal Institute of Technology,Europe,96,41,42.708333333333336,2.268292682926829,2.0,1,8
I31512782,Technical University of Darmstadt,Europe,106,26,24.528301886792452,2.6538461538461537,2.0,1,7
I183935753,King's College London,Europe,76,25,32.89473684210526,2.72,2.0,1,6
I83019370,Eindhoven University of Technology,Europe,118,22,18.64406779661017,2.772727272727273,3.0,1,7
I63966007,Massachusetts Institute of Technology,North America,452,252,55.75221238938053,1.873015873015873,1.0,1,8
I97018004,Stanford University,North America,555,313,56.3963963963964,1.9424920127795526,1.0,1,9
I74973139,Carnegie Mellon University,North America,599,325,54.257095158597664,1.9907692307692308,1.0,1,9
I95457486,"University of California, Berkeley",North America,551,367,66.60617059891108,2.005449591280654,1.0,1,9
I32971472,Yale University,North America,117,63,53.84615384615385,2.015873015873016,1.0,1,9
I2801851002,Harvard University Press,North America,71,34,47.88732394366197,2.1470588235294117,2.0,1,6
I79576946,University of Pennsylvania,North America,173,87,50.28901734104046,2.5517241379310347,2.0,1,11
I879563668,Universidade Estadual Paulista (Unesp),South America,130,25,19.23076923076923,2.04,2.0,1,5
I122140584,Universidade Federal do Rio de Janeiro,South America,157,43,27.388535031847134,2.511627906976744,2.0,1,6
I110200422,Universidade Federal de Minas Gerais,South America,211,56,26.540284360189574,2.7142857142857144,3.0,1,8
I17974374,Universidade de São Paulo,South America,386,83,21.502590673575128,2.9036144578313254,3.0,1,9
I181391015,Universidade Estadual de Campinas (UNICAMP),South America,1839,592,32.19140837411637,3.010135135135135,3.0,1,10
I177909021,Universidade Federal de São Carlos,South America,115,46,40.0,3.217391304347826,2.0,1,9
