university_id,university_name,continent,articles_in_giant,reached,reach_pct,mean_dist,median_dist,min_dist,max_dist
I74801974,The University of Tokyo,Asia,137,64,46.715328467153284,4.140625,4.0,1,9
I20231570,Peking University,Asia,280,211,75.35714285714286,4.132701421800948,4.0,1,11
I99065089,Tsinghua University,Asia,570,467,81.9298245614035,4.036402569593148,4.0,1,10
I881766915,Nanjing University,Asia,171,134,78.3625730994152,3.9925373134328357,4.0,1,10
I165932596,National University of Singapore,Asia,375,253,67.46666666666667,3.924901185770751,4.0,1,10
I22299242,Kyoto University,Asia,54,32,59.25925925925926,3.625,3.0,1,10
I37461747,Wuhan University,Asia,163,143,87.73006134969326,3.2797202797202796,3.0,1,10
I876193797,Vellore Institute of Technology University,Asia,111,95,85.58558558558559,2.9157894736842107,2.0,1,8
I40120149,University of Oxford,Europe,259,140,54.054054054054056,4.135714285714286,4.0,1,10
I62916508,Technical University of Munich,Europe,132,87,65.9090909090909,3.954022988505747,4.0,1,9
I83019370,Eindhoven University of Technology,Europe,115,48,41.73913043478261,3.8958333333333335,4.0,1,9
I86987016,KTH Royal Institute of Technology,Europe,92,49,53.26086956521739,3.857142857142857,3.0,1,10
I183935753,King's College London,Europe,73,38,52.054794520547944,3.6315789473684212,3.0,1,10
I31512782,Technical University of Darmstadt,Europe,105,66,62.857142857142854,3.1818181818181817,2.0,1,9
I4210145102,Institut Polytechnique de Paris,Europe,34,31,91.17647058823529,2.7419354838709675,2.0,1,7
I39343248,Humboldt-Universität zu Berlin,Europe,33,6,18.181818181818183,1.8333333333333333,2.0,1,3
I97018004,Stanford University,North America,553,186,33.634719710669074,5.172043010752688,5.0,1,11
I95457486,"University of California, Berkeley",North America,549,230,41.89435336976321,4.969565217391304,5.0,1,10
I32971472,Yale University,North America,115,45,39.130434782608695,4.7555555555555555,5.0,1,9
I74973139,Carnegie Mellon University,North America,594,288,48.484848484848484,4.694444444444445,5.0,1,12
I63966007,Massachusetts Institute of Technology,North America,450,144,32.0,4.513888888888889,4.0,1,10
I2801851002,Harvard University Press,North America,69,40,57.971014492753625,3.775,4.0,1,6
I79576946,University of Pennsylvania,North America,161,44,27.32919254658385,3.75,3.5,1,10
I110200422,Universidade Federal de Minas Gerais,South America,137,98,71.53284671532846,3.36734693877551,3.0,1,10
I122140584,Universidade Federal do Rio de Janeiro,South America,125,76,60.8,3.1710526315789473,3.0,1,10
I17974374,Universidade de São Paulo,South America,273,177,64.83516483516483,3.056497175141243,3.0,1,10
I177909021,Universidade Federal de São Carlos,South America,77,56,72.72727272727273,2.892857142857143,2.0,1,8
I879563668,Universidade Estadual Paulista (Unesp),South America,73,64,87.67123287671232,2.203125,2.0,1,8
