ranking_2026,institution,openalex_id
1,Massachusetts Institute of Technology,I63966007
2,Stanford University,I97018004
3,Carnegie Mellon University,I74973139
4,University of Oxford,I40120149
4,National University of Singapore,I165932596
6,University of California Berkeley,I95457486
7,Harvard University,I2801851002
11,Tsinghua University,I99065089
16,Peking University,I20231570
21,Yale University,I32971472
26,Technical University of Munich,I62916508
31,The University of Melbourne,I165779595
36,University of Pennsylvania,I79576946
41,The University of Tokyo,I74801974
46,King's College London,I183935753
56,Institut Polytechnique de Paris,I4210145102
61,KTH Royal Institute of Technology,I86987016
71,Universidade de São Paulo,I17974374
80,Nanjing University,I881766915
86,Vellore Institute of Technology Vellore India,I876193797
95,Kyoto University,I22299242
111,Eindhoven University of Technology,I83019370
146,Wuhan University,I37461747
149,Humboldt-Universität zu Berlin,I39343248
156,Technical University of Darmstadt,I31512782
185,Universidade Federal do Rio de Janeiro,I122140584
201-250,Federal University of Minas Gerais,I110200422
301-350,UNESP,I879563668
551-600,Universidade Federal de São Carlos,I177909021
?,Instituto Tecnológico de Aeronáutica,I107428990
