openalex_id,title,community_id,is_a_inter,is_a_inter_top_paths,is_a_inter_institution_paths,bridge_freq_top,bridge_freq_institutions,bridge_freq_total,bridge_fraction_top,bridge_fraction_institutions,pagerank,authority,hub,approx_betweenness_path_subgraph,eigenvector_path_subgraph,harmonic_to_unicamp_sampled,harmonic_to_top_tier_sampled,bridge_proximity,is_unicamp,is_top_tier,is_important_institution
W101255397,Synchronous atomic broadcast for redundant broadcast channels,14,True,True,True,109,77,186,0.0029326302195436934,0.0010780689964157706,1.2718714130428736e-05,8.337001815213173e-09,4.4494479457552955e-10,0.0,1.4210470773940834e-07,0.1501211895743144,0.20346912202380932,0.48721141240588645,False,False,False
W104184427,On the importance of initialization and momentum in deep learning,0,True,True,False,4,0,4,0.00010761945759793371,0.0,0.0002042058988361603,0.0008377690952732093,3.037324985659515e-05,0.00012043007975268373,0.01356923064758659,0.21295882936507923,0.35520833333333357,0.7667196554880732,False,False,False
W109189503,Discriminative vs informative learning,4,True,False,True,0,2,2,0.0,2.800179211469534e-05,6.162361851594137e-06,0.0,1.039412360131827e-07,0.0,5.523209315320021e-06,0.16517575306637794,0.25429687499999987,0.57133503699802,False,False,True
W1133916940,"Fusing audio, visual and textual clues for sentiment analysis from multimodal content",0,True,True,False,1,0,1,2.6904864399483427e-05,0.0,1.2293962470828707e-05,9.180468855159846e-05,6.080433325476586e-07,0.0,0.0006864113231510685,0.181649925595238,0.2924479166666666,0.6425235890582035,False,False,True
W114088334,Private Set Intersection: Are Garbled Circuits Better than Custom Protocols?,18,True,True,True,3,1,4,8.071459319845028e-05,1.400089605734767e-05,1.3665029029042315e-05,6.692577323253438e-08,9.170101465405385e-08,0.0,4.5373064968978215e-06,0.1556891459235208,0.2215587797619045,0.5177508838040639,False,False,False
W1141949320,Symbiotic Organism Search optimization based task scheduling in cloud computing environment,3,True,False,True,0,1,1,0.0,1.400089605734767e-05,1.865131530189299e-05,8.086763169303174e-06,5.6005746407052175e-08,0.0,0.00012218669754222018,0.18645833333333325,0.2773437499999999,0.6339387354177776,False,False,True
W1162301944,A modified vector of locally aggregated descriptors approach for fast video classification,0,True,False,True,0,1,1,0.0,1.400089605734767e-05,8.912048488733221e-06,2.4475328008113297e-05,0.00013865451097778495,0.0,0.01051035589340178,0.20656001984126976,0.3636718750000002,0.7640559985044697,False,False,False
W11697879,Robot path planning : an object-oriented approach,26,True,False,True,0,1,1,0.0,1.400089605734767e-05,7.2100869788683415e-06,1.134794518003856e-08,9.071658815916769e-08,0.0,1.2803614134534174e-05,0.1851782332251081,0.2613281249999998,0.6132467324432364,False,False,False
W1177360271,Multi-Camera Coordination and Control in Surveillance Systems,1,True,False,True,0,1,1,0.0,1.400089605734767e-05,7.0485956309613495e-06,3.0121097132962245e-05,2.7823187400688425e-07,0.0,0.00038987565400948673,0.17380022321428562,0.2761718749999999,0.6107480481199403,False,False,True
W1202352811,Effective deep learning-based multi-modal retrieval,0,True,False,True,0,1,1,0.0,1.400089605734767e-05,1.2771372217579042e-05,0.00010418197458903405,0.00017695283603863393,0.0,0.013283009241032593,0.2049417162698412,0.3552083333333335,0.7521491272495021,False,False,True
W121311982,"Image Representation, Indexing and Retrieval Based on Spatial Relationships and Properties of Objects",1,True,True,False,1,0,1,2.6904864399483427e-05,0.0,7.199537743142326e-06,2.6758153275419937e-07,3.102685848281151e-07,0.0,1.5431055489494166e-05,0.17014227092352083,0.2628906249999998,0.5895774447552389,False,False,False
W12190813,Chunkyspread: Multi-tree Unstructured Peer-to-Peer Multicast.,18,True,True,False,1,0,1,2.6904864399483427e-05,0.0,8.973940182414046e-06,1.6124769045174262e-08,2.5540029130803482e-09,5.7052831709098235e-06,2.2330924012775415e-06,0.16325334821428558,0.23757440476190458,0.5490072403275844,False,False,False
W125001008,Centralized path planning for multiple robots: Optimal decoupling into sequential plans,26,True,False,True,0,38,38,0.0,0.0005320340501792115,9.854824132148946e-06,7.207979062148747e-09,8.753345147626018e-08,0.0,1.283904959204118e-05,0.19057257846320336,0.26210937499999987,0.6230439467822367,False,False,False
W12540587,How to ask for permission,23,True,False,True,0,1,1,0.0,1.400089605734767e-05,7.19121147608693e-06,4.041798351094571e-07,3.370399936980383e-08,0.0,1.0070134937392123e-05,0.17124255952380943,0.2464843749999998,0.5727271229632483,False,False,True
W1261868982,Data Management in the Cloud: Limitations and Opportunities.,3,True,True,False,1,0,1,2.6904864399483427e-05,0.0,1.737687012354407e-05,2.3713839243449302e-07,2.647751683615234e-07,0.0,3.726435224930123e-05,0.17710193452380943,0.2648437499999999,0.6037452338807944,False,False,True
W1264850517,Exploring orientation and accelerometer sensor data for personal authentication in smartphones using touchscreen gestures,17,True,False,True,0,13,13,0.0,0.00018201164874551972,8.685346770037834e-06,1.880471851267521e-07,1.369690655582636e-06,0.0,7.226993427943586e-05,0.17282084235209225,0.27286086309523794,0.6053630116811345,False,False,False
W131533222,Automatically Constructing a Corpus of Sentential Paraphrases.,0,True,True,False,3,0,3,8.071459319845028e-05,0.0,3.3322056626050315e-05,1.0183989970912686e-05,1.375757848672499e-07,0.0,0.000250518592422139,0.17564174107142846,0.28554687500000003,0.6243092520258549,False,False,False
W132603005,Parallel processing in power systems computation,6,True,False,True,0,3,3,0.0,4.2002688172043014e-05,1.2711820259627356e-05,1.0997057054936218e-11,8.440809684512187e-11,0.0,2.5419634375892944e-31,0.0,0.0,0.0,False,False,False
