openalex_id,title,publication_year,cited_by_count,in_degree,out_degree,pagerank,authority,hub,citation_rate_by_age,wcc_rank,community_id,is_unicamp,is_top_tier,is_important_institution,is_high_impact_500,is_high_impact_100k
W2147449879,Perceptual cryptography on SPIHT compressed images or videos,2005,35,3,4,9.88800689378462e-06,2.651911394429573e-07,2.7237735433255656e-07,1.6666666666666667,1,9,False,False,False,False,False
W2111220184,Multimodal periodicity analysis for illicit content detection in videos,2006,52,6,0,1.3433995726966091e-05,2.1749716656612765e-05,0.0,2.6,1,0,False,False,True,False,False
W1993554394,An effective docking strategy for virtual screening based on multi-objective optimization algorithm,2009,51,3,9,7.837364512248833e-06,5.809802814474013e-07,1.955139239514105e-07,3.0,1,7,False,False,False,False,False
W2912735527,3D-CNN-Based Fused Feature Maps with LSTM Applied to Action Recognition,2019,55,3,18,7.725802353488325e-06,1.6188383835692493e-05,3.846637698648365e-05,7.857142857142857,1,0,False,False,False,False,False
W2079363366,Inverses of Linear Sequential Circuits,1968,320,10,1,5.057796026521825e-05,5.483781689548059e-09,2.8196762083077247e-08,5.517241379310345,1,22,False,False,False,False,False
W2034612699,A structural test selection criterion,1988,40,4,3,9.356494419097507e-06,2.289629604735147e-08,7.218145599029392e-10,1.0526315789473684,1,12,False,False,False,False,False
W2134320246,Computation of the singular value expansion,1988,62,1,2,8.781674669779648e-06,3.5593899507910248e-12,4.879045782759256e-09,1.631578947368421,1,6,False,False,False,False,False
W2078736197,Geo-activity recommendations by using improved feature combination,2012,20,1,0,6.744431366746473e-06,1.1634217290673531e-07,0.0,1.4285714285714286,1,4,False,False,False,False,False
W2956411360,A survey on multi-layer IP and optical Software-Defined Networks,2019,16,2,20,7.2193627277859024e-06,4.1948362888607716e-08,5.100274118316984e-07,2.2857142857142856,1,2,False,False,False,False,False
W2789388800,Analysis of Eigenvalue Decomposition-Based Late Reverberation Power Spectral Density Estimation,2018,31,1,5,6.910736942504283e-06,5.919363969553805e-09,1.5161277301440212e-07,3.875,1,15,False,False,False,False,False
W4387907571,"Integration of ASTER and Soil Survey Data by Principal Components Analysis and One-Class Support Vector Machine for Mineral Prospectivity Mapping in Kerkasha, Southwestern Eritrea",2023,11,0,46,6.162361851594137e-06,0.0,2.5890470113419308e-06,3.6666666666666665,1,11,False,False,False,False,False
W2003088946,Structure-Sensitive Superpixels via Geodesic Distance,2012,150,12,17,1.2789900525148265e-05,3.664615655700961e-05,5.955633939708716e-06,10.714285714285714,1,10,False,False,True,False,False
W1993612309,A Tabu Search Algorithm for the Location of Data Centers and Software Components in Green Cloud Computing Networks,2013,111,5,7,1.635038855211845e-05,1.0234566712035104e-07,9.734339415570129e-08,8.538461538461538,1,3,False,False,False,False,False
W2028292253,"An evaluation of crowd counting methods, features and regression models",2014,142,8,28,8.98987799791043e-06,5.857656226940151e-05,2.4731931804628263e-05,11.833333333333334,1,1,False,False,False,False,False
W2169655138,An adaptive learning solution to the keyboard optimization problem,1991,20,0,10,6.162361851594137e-06,0.0,1.708491727803963e-07,0.5714285714285714,1,13,False,False,False,False,False
W2984971137,Deep Multiple-Attribute-Perceived Network for Real-World Texture Recognition,2019,42,2,18,6.505431929651699e-06,1.309961181178585e-05,3.78391483500793e-05,6.0,1,0,False,False,False,False,False
W3181330405,Decomposition and Completion Network for Salient Object Detection,2021,96,1,29,6.817190056140515e-06,1.2012878913983252e-07,0.00026376684408009284,19.2,1,0,False,False,False,False,False
W3133925341,A granular recurrent neural network for multiple time series prediction,2021,20,1,7,7.2100869788683415e-06,5.225086511309611e-08,1.3320464375977928e-08,4.0,1,5,False,False,False,False,False
W2093700795,Lazy dynamic-programming can be eager,1992,20,0,4,6.162361851594137e-06,0.0,1.2100337999052728e-07,0.5882352941176471,1,13,False,False,True,False,False
W1564666697,Excited Binomial States and Excited Negative Binomial States of the Radiation Field and Some of Their Statistical Properties,2000,18,5,6,9.707651196732202e-06,1.23386390649217e-10,5.2454270108290124e-11,0.6923076923076923,1,8,False,False,False,False,False
W2794909904,QoE-Aware Bandwidth Broker for HTTP Adaptive Streaming Flows in an SDN-Enabled HFC Network,2018,27,2,14,6.797805155019032e-06,3.712053158814284e-07,2.0502269199232073e-06,3.375,1,2,False,False,True,False,False
W2087187685,Overlapping correlation clustering,2012,63,1,5,7.057404455753146e-06,4.310335387247338e-09,7.79697165118173e-07,4.5,1,3,False,False,False,False,False
W1793816471,Geometric quantum discord and non-Markovianity of structured reservoirs,2015,33,2,28,6.746194552881994e-06,1.1533211450592064e-09,7.983125903271488e-09,3.0,1,8,False,False,False,False,False
W2121573892,Distributed video streaming using multiple description coding and unequal error protection,2005,62,3,20,7.716251598191458e-06,2.542175445142494e-07,2.1167187406435352e-07,2.9523809523809526,1,9,False,False,False,False,False
W3200428054,Learning to Robustly Aggregate Labeling Functions for Semi-supervised Data Programming,2022,12,0,5,6.162361851594137e-06,0.0,1.3882228543619776e-06,3.0,1,0,False,False,False,False,False
W4223588297,A Comparative Analysis of SMS Spam Detection employing Machine Learning Methods,2022,18,0,3,6.162361851594137e-06,0.0,4.665392699691348e-08,4.5,1,4,False,False,False,False,False
W3178291178,Instant-Teaching: An End-to-End Semi-Supervised Object Detection Framework,2021,210,0,11,6.162361851594137e-06,0.0,0.0002979580032407827,42.0,1,0,False,False,False,False,False
W2153074919,Web Services Business Process Execution Language Version 2.0,2007,2797,13,0,6.71841176970923e-05,6.300450369985717e-08,0.0,147.21052631578948,1,12,False,False,False,True,False
