community_id,rank_by_size,size,internal_edges,outgoing_edges,incoming_edges,density,conductance_out,unicamp_count,unicamp_fraction,mean_year,pagerank_sum,pagerank_mean,external_citations_received,incoming_source_communities,influence_score,representative_openalex_id,representative_title,top_subfields,top_institutions,top_venues,subfield_entropy,institution_entropy,venue_entropy
0,1,5739,59287,10429,10918,0.0018003738918060531,0.14959263296804176,61,0.010629029447638962,2017.4149326805386,0.11681890150608594,2.035527121555775e-05,10918,35,2.841792877478408,W2163605009,ImageNet classification with deep convolutional neural networks,Computer Vision and Pattern Recognition (4222); Artificial Intelligence (3213); Signal Processing (512); Biomedical Engineering (342); Media Technology (304),Chinese Academy of Sciences (243); Tsinghua University (226); University of Chinese Academy of Sciences (169); Google (United States) (134); Carnegie Mellon University (133),IEEE Transactions on Pattern Analysis and Machine Intelligence (255); Proceedings of the AAAI Conference on Artificial Intelligence (171); IEEE Transactions on Image Processing (163); IEEE Access (133); Pattern Recognition (126),3.3292483445087613,9.682758083447057,7.216548915409275
1,2,4122,24053,7969,8878,0.0014159849887812638,0.24886015864093436,177,0.04294032023289665,2008.3150485436893,0.09474954552247414,2.298630410540372e-05,8878,32,2.200851041592891,W2130259898,Low-dimensional procedure for the characterization of human faces,Computer Vision and Pattern Recognition (3063); Artificial Intelligence (1249); Signal Processing (829); Media Technology (368); Information Systems (343),Universidade Estadual de Campinas (UNICAMP) (177); Carnegie Mellon University (89); Universidade de São Paulo (85); Microsoft (United States) (80); Microsoft Research Asia (China) (77),Pattern Recognition (153); IEEE Transactions on Pattern Analysis and Machine Intelligence (153); IEEE Transactions on Visualization and Computer Graphics (144); IEEE Transactions on Image Processing (87); International Journal of Computer Vision (73),3.715517358678061,9.739676936349756,7.607333604389864
2,3,3151,26865,4013,2945,0.002706623747563132,0.12996308051039576,87,0.027610282450015868,2016.0133375674818,0.06760351616631424,2.14546227122546e-05,2945,28,0.943538205186242,W2147118406,OpenFlow,Computer Networks and Communications (2938); Electrical and Electronic Engineering (999); Artificial Intelligence (567); Information Systems (482); Signal Processing (180),Universidade Estadual de Campinas (UNICAMP) (87); Princeton University (74); Beijing University of Posts and Telecommunications (60); Stanford University (55); Tsinghua University (49),IEEE Access (134); IEEE Transactions on Network and Service Management (126); Computer Networks (112); IEEE Communications Surveys & Tutorials (83); IEEE Communications Magazine (79),2.5922299160750897,9.991962389636623,6.919334994264113
3,4,3065,19191,4647,2764,0.002043517520732263,0.19494085074251197,105,0.03425774877650897,2015.2920065252854,0.05277490917006665,1.7218567429059265e-05,2764,32,0.876487834869056,W2119565742,The Google file system,Computer Networks and Communications (2603); Information Systems (1774); Artificial Intelligence (534); Electrical and Electronic Engineering (462); Computer Vision and Pattern Recognition (331),Universidade Estadual de Campinas (UNICAMP) (105); The University of Melbourne (80); Beijing University of Posts and Telecommunications (42); Huazhong University of Science and Technology (39); TU Wien (34),Future Generation Computer Systems (121); IEEE Access (117); IEEE Internet of Things Journal (97); Journal of Network and Computer Applications (57); IEEE Communications Surveys & Tutorials (56),3.046571989675398,10.244362930755809,7.470343119833045
4,5,3062,13950,4812,7691,0.0014883521242679068,0.2564758554525104,122,0.039843239712606136,2010.7172278522394,0.06045285312332381,1.9742930477898044e-05,7691,32,1.628681702795295,W2087347434,A training algorithm for optimal margin classifiers,Artificial Intelligence (2333); Information Systems (720); Computer Networks and Communications (657); Computer Vision and Pattern Recognition (621); Signal Processing (480),Universidade Estadual de Campinas (UNICAMP) (122); AT&T (United States) (38); Centre National de la Recherche Scientifique (37); Stanford University (37); Nanyang Technological University (35),Neurocomputing (80); Expert Systems with Applications (73); Information Sciences (51); IEEE Access (47); Applied Soft Computing (46),3.799430527407736,10.283932138225095,8.397022770534253
5,6,2931,22352,2922,4418,0.0026027529655337843,0.11561288280446308,130,0.04435346298191743,2007.0825938566552,0.06656510722395714,2.2710715531885754e-05,4418,32,1.264101946448883,W4211007335,Fuzzy sets,Artificial Intelligence (2541); Computational Theory and Mathematics (673); Control and Systems Engineering (462); Statistics and Probability (365); Management Science and Operations Research (329),Universidade Estadual de Campinas (UNICAMP) (130); Universidad de Granada (100); University of Alberta (85); University of Southern California (78); Polish Academy of Sciences (52),IEEE Transactions on Fuzzy Systems (270); Information Sciences (163); Fuzzy Sets and Systems (145); IEEE Transactions on Neural Networks (80); Applied Soft Computing (77),3.4939638960451505,9.562759856113995,7.046895177186223
6,7,2479,8657,808,997,0.0014092550141120846,0.08536714210248283,47,0.018959257765227916,2002.7120355411955,0.04522002255569559,1.8241235399635172e-05,997,30,0.4809463703351146,W3022136271,The Algebraic Eigenvalue Problem,"Computational Theory and Mathematics (2066); Numerical Analysis (928); Computational Mechanics (481); Atomic and Molecular Physics, and Optics (453); Artificial Intelligence (285)","Stanford University (64); University of California, Berkeley (52); University of Manchester (50); Universidade Estadual de Campinas (UNICAMP) (47); KU Leuven (41)",Linear Algebra and its Applications (289); SIAM Journal on Matrix Analysis and Applications (174); Journal of Computational and Applied Mathematics (100); SIAM Journal on Scientific Computing (93); Numerische Mathematik (78),3.763774716883112,9.15672083107311,6.53263121222816
7,8,2229,11739,897,346,0.002363773435366835,0.07098765432098765,50,0.02243158366980709,2013.2220726783312,0.041049015140988424,1.8415888353965197e-05,346,22,0.07181945857420234,W2080653934,A computational procedure for determining energetically favorable binding sites on biologically important macromolecules,Computational Theory and Mathematics (2169); Molecular Biology (1459); Organic Chemistry (407); Pharmacology (400); Materials Chemistry (399),"Centre National de la Recherche Scientifique (54); Universidade Estadual de Campinas (UNICAMP) (50); Chinese Academy of Sciences (36); University of California San Diego (34); University of California, San Francisco (28)",Journal of Chemical Information and Modeling (329); Journal of Medicinal Chemistry (115); Journal of Computer-Aided Molecular Design (108); Nucleic Acids Research (58); Journal of Computational Chemistry (57),3.234940150644045,10.223184388194078,6.610445620837943
8,9,2211,24272,237,163,0.004967347548559138,0.009669917173283284,82,0.0370872908186341,2009.254191209787,0.0499632502706019,2.259758040280502e-05,163,19,0.052834620518682936,W2101088258,Quantum computational networks,"Artificial Intelligence (2188); Atomic and Molecular Physics, and Optics (1926); Computational Theory and Mathematics (175); Statistical and Nonlinear Physics (128); Electrical and Electronic Engineering (49)",Universidade Estadual de Campinas (UNICAMP) (82); University of Science and Technology of China (66); Imperial College London (63); Chinese Academy of Sciences (51); Institute of Physics (44),"Physical Review A (579); Physical Review Letters (273); Physical review. A/Physical review, A (116); Quantum Information Processing (98); International Journal of Theoretical Physics (59)",1.6851381106119379,9.142393933223632,5.107275696630895
9,10,2082,11910,1107,1965,0.002748900093753419,0.08504263655220097,28,0.013448607108549471,2005.5763688760808,0.05199966146870044,2.49758220310761e-05,1965,30,0.6922409219392337,W2103504761,The Laplacian Pyramid as a Compact Image Code,Computer Vision and Pattern Recognition (1920); Signal Processing (769); Media Technology (321); Artificial Intelligence (236); Computational Mechanics (195),Rensselaer Polytechnic Institute (51); University of California San Diego (43); Stanford University (43); École Polytechnique Fédérale de Lausanne (42); University of Illinois Urbana-Champaign (37),"IEEE Transactions on Image Processing (215); IEEE Transactions on Circuits and Systems for Video Technology (102); IEEE Transactions on Signal Processing (67); Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE (57); Signal Processing (39)",2.8349482879197594,9.418502877004437,6.851936295621553
